timestamp,humidity,temperature
1783488909.743,61.4,25.6
1783488910.766,61.4,25.6
1783488911.79,61.4,25.6
1783488912.813,61.2,25.6
1783488913.835,61.2,25.6
1783488914.857,61.1,25.6
1783488915.88,61.1,25.5
1783488916.903,61.0,25.6
1783488917.924,61.0,25.6
1783488918.947,60.9,25.6
1783488919.969,60.9,25.6
1783488920.991,60.9,25.6
1783488922.014,60.8,25.6
1783488923.037,60.8,25.6
1783488924.059,60.7,25.6
1783488925.081,60.5,25.6
1783488926.103,60.3,25.6
1783488927.125,60.2,25.6
1783488928.148,60.0,25.6
1783488929.172,59.9,25.6
1783488930.194,59.8,25.6
1783488931.218,59.8,25.6
1783488932.24,59.7,25.6
1783488933.265,59.7,25.6
1783488934.286,59.6,25.6
1783488935.308,59.6,25.6
1783488936.331,59.6,25.6
1783488937.352,59.6,25.6
1783488938.375,59.5,25.6
1783488939.397,59.5,25.6
1783488940.419,59.5,25.6
1783488941.441,59.5,25.6
1783488942.463,59.4,25.6
1783488943.486,59.2,25.6
1783488944.509,59.1,25.6
1783488945.531,59.0,25.6
1783488946.554,58.9,25.6
1783488947.576,58.8,25.6
1783488948.599,58.8,25.6
1783488949.621,58.7,25.6
1783488950.644,58.7,25.6
1783488951.667,58.7,25.6
1783488952.69,58.6,25.6
1783488953.712,58.6,25.6
1783488954.735,58.5,25.6
1783488955.757,58.5,25.6
1783488956.78,58.5,25.6
1783488957.802,58.4,25.6
1783488958.825,58.3,25.6
1783488959.847,58.2,25.6
1783488960.869,58.0,25.6
1783488961.891,57.9,25.6
1783488962.913,57.9,25.6
1783488963.935,57.8,25.6
1783488964.957,57.7,25.6
1783488965.98,57.7,25.6
1783488967.002,57.7,25.6
1783488968.024,57.6,25.6
1783488969.047,57.6,25.6
1783488970.069,57.6,25.6
1783488971.091,57.6,25.6
1783488972.113,57.5,25.6
1783488973.136,57.5,25.6
1783488974.159,57.5,25.6
1783488975.181,57.4,25.6
1783488976.204,57.3,25.6
1783488977.227,57.2,25.6
1783488978.249,57.0,25.6
1783488979.272,56.8,25.6
1783488980.294,56.7,25.6
1783488981.317,56.6,25.6
