timestamp,wind_angle,wind_dir_code,wind_direction,wind_level,wind_speed_kmh,wind_speed_ms
1782792425.487,198.8,9.0,南西南,0.0,0.0,0.0
1782792430.498,198.8,9.0,南西南,0.0,0.0,0.0
1782792435.511,198.8,9.0,南西南,0.0,0.0,0.0
1782792440.523,198.8,9.0,南西南,0.0,0.0,0.0
1782792445.536,198.8,9.0,南西南,0.0,0.0,0.0
1782792450.547,198.8,9.0,南西南,0.0,0.0,0.0
1782792455.556,198.8,9.0,南西南,0.0,0.0,0.0
1782792460.565,198.8,9.0,南西南,0.0,0.0,0.0
1782792465.575,198.8,9.0,南西南,0.0,0.0,0.0
1782792470.579,198.8,9.0,南西南,0.0,0.0,0.0
1782792475.592,198.8,9.0,南西南,0.0,0.0,0.0
1782792480.602,198.8,9.0,南西南,0.0,0.0,0.0
1782792485.608,198.8,9.0,南西南,0.0,0.0,0.0
1782792490.619,198.8,9.0,南西南,0.0,0.0,0.0
1782792495.625,198.8,9.0,南西南,0.0,0.0,0.0
1782792500.633,198.8,9.0,南西南,0.0,0.0,0.0
1782792505.643,198.8,9.0,南西南,0.0,0.0,0.0
1782792510.652,198.8,9.0,南西南,0.0,0.0,0.0
1782792515.662,198.8,9.0,南西南,0.0,0.0,0.0
1782792520.67,198.8,9.0,南西南,0.0,0.0,0.0
1782792525.678,198.8,9.0,南西南,0.0,0.0,0.0
1782792530.687,198.8,9.0,南西南,0.0,0.0,0.0
1782792535.699,198.8,9.0,南西南,0.0,0.0,0.0
1782792540.702,198.8,9.0,南西南,0.0,0.0,0.0
1782792545.71,198.8,9.0,南西南,0.0,0.0,0.0
1782792550.721,198.8,9.0,南西南,0.0,0.0,0.0
1782792555.728,198.8,9.0,南西南,0.0,0.0,0.0
1782792560.735,198.8,9.0,南西南,0.0,0.0,0.0
1782792565.746,198.8,9.0,南西南,0.0,0.0,0.0
1782792570.749,198.8,9.0,南西南,0.0,0.0,0.0
1782792575.759,198.8,9.0,南西南,0.0,0.0,0.0
1782792580.766,198.8,9.0,南西南,0.0,0.0,0.0
1782792585.777,198.8,9.0,南西南,0.0,0.0,0.0
1782792590.786,198.8,9.0,南西南,0.0,0.0,0.0
1782792595.793,198.8,9.0,南西南,0.0,0.0,0.0
1782792600.801,198.8,9.0,南西南,0.0,0.0,0.0
1782792605.811,198.8,9.0,南西南,0.0,0.0,0.0
1782792610.816,198.8,9.0,南西南,0.0,0.0,0.0
1782792615.825,198.8,9.0,南西南,0.0,0.0,0.0
1782792620.832,198.8,9.0,南西南,0.0,0.0,0.0
1782792625.836,198.8,9.0,南西南,0.0,0.0,0.0
1782792630.846,198.8,9.0,南西南,0.0,0.0,0.0
1782792635.856,198.8,9.0,南西南,0.0,0.0,0.0
1782792640.86,198.8,9.0,南西南,0.0,0.0,0.0
1782792645.869,198.8,9.0,南西南,0.0,0.0,0.0
1782792650.879,198.8,9.0,南西南,0.0,0.0,0.0
1782792655.887,198.8,9.0,南西南,0.0,0.0,0.0
1782792660.893,198.8,9.0,南西南,0.0,0.0,0.0
1782792665.899,198.8,9.0,南西南,0.0,0.0,0.0
1782792670.906,198.8,9.0,南西南,0.0,0.0,0.0
1782792675.915,198.8,9.0,南西南,0.0,0.0,0.0
1782792680.922,198.8,9.0,南西南,0.0,0.0,0.0
1782792685.93,198.8,9.0,南西南,0.0,0.0,0.0
1782792690.94,198.8,9.0,南西南,0.0,0.0,0.0
1782792695.945,198.8,9.0,南西南,0.0,0.0,0.0
1782792700.955,198.8,9.0,南西南,0.0,0.0,0.0
1782792705.964,198.8,9.0,南西南,0.0,0.0,0.0
1782792710.969,198.8,9.0,南西南,0.0,0.0,0.0
1782792715.979,198.8,9.0,南西南,0.0,0.0,0.0
1782792720.989,198.8,9.0,南西南,0.0,0.0,0.0
1782792725.996,198.8,9.0,南西南,0.0,0.0,0.0
1782792731.005,198.8,9.0,南西南,0.0,0.0,0.0
1782792736.013,198.8,9.0,南西南,0.0,0.0,0.0
1782792741.017,198.8,9.0,南西南,0.0,0.0,0.0
1782792746.03,198.8,9.0,南西南,0.0,0.0,0.0
1782792751.038,198.8,9.0,南西南,0.0,0.0,0.0
1782792756.047,198.8,9.0,南西南,0.0,0.0,0.0
1782792761.057,198.8,9.0,南西南,0.0,0.0,0.0
1782792766.064,198.8,9.0,南西南,0.0,0.0,0.0
1782792771.075,198.8,9.0,南西南,0.0,0.0,0.0
1782792776.083,198.8,9.0,南西南,0.0,0.0,0.0
1782792781.09,198.8,9.0,南西南,0.0,0.0,0.0
1782792786.1,198.8,9.0,南西南,0.0,0.0,0.0
1782792791.11,198.8,9.0,南西南,0.0,0.0,0.0
1782792796.115,198.8,9.0,南西南,0.0,0.0,0.0
1782792801.127,198.8,9.0,南西南,0.0,0.0,0.0
1782792806.136,198.8,9.0,南西南,0.0,0.0,0.0
1782792811.141,198.8,9.0,南西南,0.0,0.0,0.0
1782792816.151,198.8,9.0,南西南,0.0,0.0,0.0
1782792821.158,198.8,9.0,南西南,0.0,0.0,0.0
1782792826.164,198.8,9.0,南西南,0.0,0.0,0.0
1782792831.172,198.8,9.0,南西南,0.0,0.0,0.0
1782792836.182,198.8,9.0,南西南,0.0,0.0,0.0
1782792841.189,198.8,9.0,南西南,0.0,0.0,0.0
1782792846.195,198.8,9.0,南西南,0.0,0.0,0.0
1782792851.203,198.8,9.0,南西南,0.0,0.0,0.0
1782792856.212,198.8,9.0,南西南,0.0,0.0,0.0
1782792861.222,198.8,9.0,南西南,0.0,0.0,0.0
1782792866.228,198.8,9.0,南西南,0.0,0.0,0.0
1782792871.243,198.8,9.0,南西南,0.0,0.0,0.0
1782792876.257,198.8,9.0,南西南,0.0,0.0,0.0
1782792881.261,198.8,9.0,南西南,0.0,0.0,0.0
1782792886.271,198.8,9.0,南西南,0.0,0.0,0.0
1782792891.284,198.8,9.0,南西南,0.0,0.0,0.0
1782792896.29,198.8,9.0,南西南,0.0,0.0,0.0
1782792901.297,198.8,9.0,南西南,0.0,0.0,0.0
1782792906.305,198.8,9.0,南西南,0.0,0.0,0.0
1782792911.314,198.8,9.0,南西南,0.0,0.0,0.0
1782792916.324,198.8,9.0,南西南,0.0,0.0,0.0
1782792921.328,198.8,9.0,南西南,0.0,0.0,0.0
1782792926.336,198.8,9.0,南西南,0.0,0.0,0.0
1782792931.348,198.8,9.0,南西南,0.0,0.0,0.0
1782792936.356,198.8,9.0,南西南,0.0,0.0,0.0
1782792941.368,198.8,9.0,南西南,0.0,0.0,0.0
1782792946.376,198.8,9.0,南西南,0.0,0.0,0.0
1782792951.388,198.8,9.0,南西南,0.0,0.0,0.0
1782792956.402,198.8,9.0,南西南,0.0,0.0,0.0
1782792961.415,198.8,9.0,南西南,0.0,0.0,0.0
1782792966.422,198.8,9.0,南西南,0.0,0.0,0.0
1782792971.436,198.8,9.0,南西南,0.0,0.0,0.0
