timestamp,hour_rain,instant_rain,last_hour_rain,max_24h_rain,max_24h_time,min_24h_rain,min_24h_time,today_rain,total_rain,yesterday_rain
1782799403.484,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799408.492,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799413.5,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799418.511,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799423.518,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799428.531,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799433.542,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799438.55,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799443.562,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799448.572,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799453.586,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799458.594,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799463.604,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799468.618,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799473.63,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799478.639,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799483.645,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799488.655,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799493.663,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799498.673,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799503.682,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799508.691,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799513.699,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799518.709,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799523.719,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799528.727,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
